BPMX-1 BPMY-1 BPMS-1 BPMA-1 BPMB-1 BPMC-1 BPMD-1 
-1.957838e+00 1.516190e-01 10527115 2.208631e+06 3.104805e+06 2.802827e+06 2.410852e+06 
-1.987908e+00 1.171130e-01 10529659 2.199408e+06 3.103958e+06 2.814996e+06 2.411297e+06 
-2.066326e+00 8.731100e-02 10533326 2.183172e+06 3.112231e+06 2.834597e+06 2.403326e+06 
-2.114053e+00 1.067390e-01 10536479 2.178785e+06 3.124600e+06 2.839723e+06 2.393371e+06 
-2.093958e+00 1.294180e-01 10534609 2.184654e+06 3.125256e+06 2.831393e+06 2.393306e+06 
-2.024905e+00 1.195010e-01 10531722 2.193891e+06 3.111300e+06 2.820990e+06 2.405541e+06 
-1.979743e+00 1.095300e-01 10528982 2.199544e+06 3.100986e+06 2.814901e+06 2.413551e+06 
-1.999294e+00 1.254150e-01 10529848 2.198507e+06 3.107686e+06 2.815121e+06 2.408534e+06 
-2.062539e+00 1.301540e-01 10533295 2.189585e+06 3.119905e+06 2.825659e+06 2.398146e+06 
-2.104257e+00 1.001570e-01 10535082 2.179143e+06 3.121372e+06 2.838935e+06 2.395632e+06 
-2.090655e+00 9.179400e-02 10535860 2.180399e+06 3.117754e+06 2.838515e+06 2.399192e+06 
-2.041315e+00 1.254800e-01 10532453 2.192475e+06 3.115052e+06 2.823051e+06 2.401875e+06 
-2.006144e+00 1.442170e-01 10530308 2.200219e+06 3.112393e+06 2.812927e+06 2.404769e+06 
-2.014467e+00 1.167090e-01 10530445 2.195025e+06 3.108604e+06 2.819532e+06 2.407284e+06 
-2.056884e+00 9.299300e-02 10532172 2.185198e+06 3.111495e+06 2.831574e+06 2.403905e+06 
-2.093496e+00 1.122040e-01 10534869 2.182465e+06 3.121909e+06 2.834735e+06 2.395760e+06 
-2.089125e+00 1.317840e-01 10533820 2.185358e+06 3.124933e+06 2.829679e+06 2.393850e+06 
-2.050147e+00 1.175380e-01 10532453 2.189826e+06 3.115087e+06 2.825923e+06 2.401617e+06 
-2.019746e+00 1.051180e-01 10529516 2.192543e+06 3.106804e+06 2.822546e+06 2.407623e+06 
-2.027002e+00 1.236550e-01 10530825 2.194158e+06 3.111948e+06 2.820527e+06 2.404192e+06 
-2.060016e+00 1.324810e-01 10532956 2.190335e+06 3.119749e+06 2.824793e+06 2.398078e+06 
-2.086136e+00 1.069080e-01 10533307 2.182543e+06 3.119301e+06 2.834037e+06 2.397426e+06 
-2.084757e+00 9.488300e-02 10532870 2.181187e+06 3.116479e+06 2.836158e+06 2.399046e+06 
-2.058624e+00 1.215730e-01 10532334 2.188827e+06 3.117354e+06 2.826379e+06 2.399774e+06 
-2.035233e+00 1.413660e-01 10531413 2.195180e+06 3.117051e+06 2.818464e+06 2.400718e+06 
-2.037120e+00 1.180290e-01 10530540 2.191693e+06 3.112418e+06 2.823226e+06 2.403203e+06 
-2.060952e+00 9.750700e-02 10531988 2.185213e+06 3.112873e+06 2.831431e+06 2.402471e+06 
-2.083029e+00 1.160210e-01 10532942 2.184224e+06 3.120436e+06 2.831673e+06 2.396609e+06 
-2.082773e+00 1.318460e-01 10533436 2.186675e+06 3.123443e+06 2.828861e+06 2.394457e+06 
-2.063394e+00 1.159430e-01 10532040 2.187243e+06 3.116937e+06 2.828200e+06 2.399660e+06 
-2.045390e+00 1.053890e-01 10531777 2.188726e+06 3.111848e+06 2.827215e+06 2.403988e+06 
-2.047132e+00 1.227140e-01 10530592 2.190516e+06 3.115163e+06 2.823805e+06 2.401108e+06 
-2.067505e+00 1.335970e-01 10532394 2.189196e+06 3.120973e+06 2.825717e+06 2.396508e+06 
-2.081742e+00 1.118230e-01 10532906 2.183704e+06 3.119556e+06 2.832109e+06 2.397537e+06 
-2.078986e+00 9.838800e-02 10533566 2.182513e+06 3.116657e+06 2.834474e+06 2.399922e+06 
-2.067908e+00 1.207160e-01 10532558 2.187455e+06 3.118557e+06 2.828358e+06 2.398188e+06 
-2.056143e+00 1.390170e-01 10531187 2.191327e+06 3.120017e+06 2.822252e+06 2.397591e+06 
-2.057124e+00 1.178330e-01 10530698 2.188400e+06 3.115726e+06 2.826590e+06 2.399982e+06 
-2.068701e+00 9.930200e-02 10532342 2.184187e+06 3.114668e+06 2.832386e+06 2.401101e+06 
-2.081128e+00 1.182420e-01 10532674 2.184592e+06 3.120664e+06 2.830668e+06 2.396750e+06 
-2.082634e+00 1.328220e-01 10532795 2.186769e+06 3.123347e+06 2.828549e+06 2.394130e+06 
