X Y 
0.169842 0.238107 
0.166432 0.241781 
0.168595 0.243930 
0.171793 0.241068 
0.176993 0.243403 
0.186420 0.242155 
0.188655 0.237218 
0.190814 0.232358 
0.191744 0.227514 
0.208599 0.220585 
0.205223 0.225036 
0.199921 0.230284 
0.207537 0.237056 
0.212047 0.238992 
0.214800 0.243668 
0.222429 0.250953 
0.230223 0.257405 
0.228116 0.245551 
0.222641 0.248638 
0.217304 0.244097 
0.218034 0.239775 
0.223107 0.240282 
0.220352 0.234816 
0.219109 0.239527 
0.224585 0.236643 
0.227967 0.235592 
0.229590 0.231386 
0.227558 0.233730 
0.221989 0.230128 
0.218253 0.226285 
0.222769 0.228747 
0.226274 0.232552 
0.223834 0.228596 
0.225438 0.226550 
0.223541 0.227496 
0.229255 0.225056 
0.230778 0.226893 
0.233167 0.229981 
0.236249 0.235629 
0.239755 0.239311 
0.237163 0.232755 
0.238604 0.230632 
0.232288 0.224861 
0.241161 0.223367 
0.239578 0.222903 
0.230259 0.222374 
0.228728 0.223072 
0.235185 0.230146 
0.240847 0.236228 
0.237105 0.234606 
0.232377 0.230358 
0.228696 0.231496 
0.218837 0.231325 
0.216786 0.230739 
0.217831 0.229599 
0.218745 0.233935 
0.231649 0.225316 
0.220759 0.223836 
0.222341 0.222039 
0.232390 0.215483 
0.248472 0.210066 
0.242092 0.221839 
0.242632 0.222670 
0.248408 0.231314 
0.243129 0.229852 
0.241464 0.233236 
0.239446 0.235469 
0.242763 0.239561 
0.240335 0.238694 
0.241151 0.234112 
0.232865 0.242962 
0.232599 0.240023 
0.228007 0.235724 
0.221667 0.246671 
0.221115 0.251971 
0.217537 0.247073 
0.219659 0.248609 
0.225349 0.240336 
0.229469 0.238659 
0.228981 0.243764 
0.230109 0.243808 
0.225612 0.247378 
0.223015 0.253879 
0.234093 0.245688 
0.233563 0.243133 
0.236844 0.234131 
0.242578 0.237738 
0.238001 0.227896 
0.235139 0.225705 
0.229660 0.226717 
0.234849 0.226152 
0.233427 0.223561 
0.234197 0.213740 
0.223366 0.220599 
0.222506 0.235882 
0.215299 0.241555 
0.217964 0.237053 
0.214765 0.241651 
0.221720 0.238702 
0.227824 0.236492 
0.231318 0.240605 
0.234731 0.241228 
0.238515 0.246985 
0.242258 0.241128 
0.241019 0.242269 
0.240039 0.243295 
0.235477 0.244671 
0.236246 0.242967 
0.232934 0.239627 
0.237926 0.238229 
0.233338 0.241096 
0.228736 0.241779 
0.226976 0.240873 
0.238087 0.248333 
0.235882 0.247962 
0.233096 0.246875 
0.229526 0.250308 
0.231485 0.252419 
0.237876 0.250365 
0.235381 0.247371 
0.235988 0.249467 
0.230348 0.243387 
0.237829 0.242017 
0.237146 0.247716 
0.241606 0.252369 
0.246121 0.244660 
0.239454 0.246206 
0.248036 0.251012 
0.250146 0.252111 
0.252251 0.264870 
0.246032 0.272326 
0.249101 0.265452 
0.252380 0.270649 
0.253294 0.268705 
0.241038 0.273411 
0.238889 0.267499 
0.243585 0.267421 
0.239214 0.269350 
0.239424 0.273097 
0.243762 0.272373 
0.246984 0.279262 
0.247732 0.280639 
0.247610 0.279203 
0.253597 0.272960 
0.255621 0.263014 
0.266072 0.254111 
0.269533 0.257281 
0.256473 0.256436 
0.254435 0.255109 
0.255229 0.254473 
0.253417 0.258112 
0.255895 0.254487 
0.260337 0.247800 
0.258808 0.250123 
0.259543 0.247767 
