X Y 
0.120624 0.236984 
0.165027 0.141833 
0.162252 0.135378 
0.225906 0.171031 
0.190042 0.140409 
0.223830 0.193190 
0.215850 0.202634 
0.181658 0.217640 
0.185773 0.224695 
0.215616 0.273383 
0.164100 0.235689 
0.171637 0.253425 
0.205879 0.274246 
0.245923 0.280457 
0.216211 0.325720 
0.229447 0.330215 
0.307317 0.339703 
0.298564 0.351964 
0.280391 0.356770 
0.255113 0.380422 
0.272592 0.396318 
0.257523 0.384338 
0.274633 0.380490 
0.245740 0.298390 
0.255361 0.301991 
0.290108 0.354189 
0.300097 0.293687 
0.269671 0.347873 
0.307700 0.345406 
0.327596 0.350122 
0.292146 0.347608 
0.291843 0.379003 
0.303176 0.406189 
0.286655 0.366204 
0.288682 0.362630 
0.266877 0.335568 
0.275411 0.275518 
0.269920 0.276072 
0.309478 0.257636 
0.306703 0.254849 
0.299588 0.247430 
0.285889 0.237166 
0.295339 0.228421 
0.279800 0.232275 
0.286509 0.296536 
0.338220 0.303857 
0.347695 0.292451 
0.330345 0.341051 
0.400256 0.359146 
0.405512 0.353875 
0.391952 0.294876 
0.400832 0.293772 
0.395364 0.303536 
0.413997 0.321652 
0.411164 0.321766 
0.431406 0.351236 
0.469127 0.332877 
0.443719 0.273358 
0.418881 0.255426 
0.405183 0.251537 
0.344723 0.265111 
0.344516 0.256940 
0.343864 0.257992 
0.344703 0.277606 
0.330287 0.232338 
0.319992 0.232452 
0.335649 0.258484 
0.353544 0.255499 
0.355833 0.266851 
0.305857 0.250237 
0.284988 0.200697 
0.301282 0.224062 
0.297879 0.235490 
0.283221 0.277271 
0.219732 0.261412 
0.209220 0.273353 
0.192971 0.214565 
