X Y 
0.182373 0.224533 
0.186116 0.267063 
0.232955 0.269937 
0.185384 0.290665 
0.191860 0.337743 
0.184764 0.341927 
0.268220 0.389917 
0.288652 0.412014 
0.236790 0.426134 
0.246083 0.435178 
0.223233 0.399034 
0.235405 0.459718 
0.236920 0.473397 
0.252208 0.347567 
0.259016 0.339894 
0.265042 0.357797 
0.212780 0.326421 
0.203467 0.321222 
0.215557 0.336649 
0.188492 0.355038 
0.193841 0.331477 
0.213520 0.322057 
0.166472 0.348874 
0.168950 0.340610 
0.199835 0.269511 
0.252629 0.279287 
0.272764 0.291081 
0.270843 0.284620 
0.233875 0.278376 
0.225581 0.296873 
0.185080 0.321794 
0.179422 0.301469 
0.189495 0.329928 
0.203357 0.310116 
0.279004 0.327569 
0.283743 0.346542 
0.283382 0.331326 
0.259490 0.324963 
