X Y 
0.179779 0.247144 
0.175397 0.241686 
0.166743 0.228009 
0.165324 0.162729 
0.165435 0.131439 
0.038544 0.023238 
0.000010 0.004600 
0.000009 0.012669 
0.001779 0.055887 
0.044220 0.078939 
0.093251 0.098137 
0.108297 0.112665 
0.114900 0.127294 
0.114178 0.137146 
0.132296 0.134352 
0.139043 0.139000 
0.137706 0.149448 
0.153410 0.151230 
0.154425 0.162625 
0.151223 0.169370 
0.155750 0.178439 
0.172161 0.185225 
0.174387 0.184993 
0.171859 0.188550 
0.175976 0.187225 
0.176864 0.186477 
0.184646 0.196379 
0.186502 0.201343 
0.183046 0.203507 
0.195379 0.208185 
0.200705 0.199658 
0.197656 0.206473 
0.201787 0.206493 
0.208099 0.207240 
0.211259 0.209402 
0.206298 0.214589 
0.207502 0.216150 
0.205883 0.215172 
0.202913 0.211655 
0.212438 0.216653 
0.228765 0.216469 
0.238578 0.220630 
0.244420 0.223586 
0.238592 0.217518 
0.235669 0.226587 
0.233161 0.227311 
0.229879 0.236699 
0.230319 0.239331 
0.240339 0.232551 
0.245015 0.227773 
0.239680 0.229687 
0.252753 0.233743 
0.258044 0.227799 
0.258910 0.227912 
0.254431 0.238427 
0.256080 0.240092 
0.251100 0.247975 
0.259337 0.240867 
0.255849 0.232618 
0.259652 0.227503 
0.261257 0.230352 
0.259972 0.228200 
0.260958 0.229648 
0.261627 0.233838 
0.261631 0.230910 
0.265908 0.229445 
0.269573 0.225766 
0.259863 0.224348 
0.269029 0.234034 
0.274011 0.232132 
0.271918 0.234831 
0.261922 0.235632 
0.265698 0.229569 
0.265550 0.234197 
0.259800 0.231271 
0.262436 0.236318 
0.265078 0.232084 
0.267512 0.234053 
0.258301 0.248399 
0.255720 0.256251 
0.254560 0.255644 
0.262215 0.256354 
0.264486 0.246164 
0.262974 0.246396 
0.272756 0.250599 
0.282076 0.255080 
0.281013 0.251321 
0.273433 0.248452 
0.274227 0.245409 
0.271935 0.249758 
0.266048 0.252018 
0.267317 0.250064 
0.271292 0.244424 
0.271578 0.247498 
0.259670 0.245387 
0.254550 0.246902 
0.259521 0.246501 
0.250175 0.244948 
0.249723 0.249860 
0.248751 0.251526 
0.251110 0.252401 
0.247957 0.250780 
0.259493 0.257480 
0.260621 0.251952 
0.262164 0.248603 
0.254874 0.242988 
0.253642 0.232320 
0.252347 0.230577 
0.258500 0.231189 
0.262756 0.227193 
0.256455 0.229216 
0.259239 0.233244 
0.251088 0.230505 
0.257382 0.224966 
0.254390 0.223126 
0.256080 0.221577 
0.259198 0.228714 
0.248792 0.222707 
0.246582 0.220425 
0.244876 0.217817 
0.244791 0.221949 
0.249100 0.226293 
0.248719 0.218176 
0.255483 0.223829 
0.248666 0.219874 
0.246237 0.221245 
0.240839 0.236526 
0.236777 0.235018 
0.235320 0.235614 
0.237476 0.239706 
0.230103 0.242045 
0.230461 0.250475 
0.233989 0.252524 
0.241452 0.245378 
0.240498 0.248298 
0.240216 0.257159 
0.238945 0.254749 
0.239340 0.251775 
0.233980 0.255616 
0.231433 0.253756 
0.237001 0.245565 
0.237909 0.240675 
0.240348 0.236269 
0.243241 0.239737 
0.241462 0.239643 
0.229126 0.248202 
0.227261 0.250152 
0.224759 0.251075 
0.219752 0.248973 
0.213796 0.243654 
0.217743 0.239074 
0.224461 0.247311 
0.225824 0.240487 
0.233133 0.237400 
0.232727 0.245807 
