X Y 
0.186111 0.198280 
0.197744 0.173325 
0.206815 0.212727 
0.244809 0.252116 
0.247471 0.241456 
0.243895 0.267650 
0.246520 0.245033 
0.216198 0.206974 
0.213277 0.135825 
0.147097 0.160459 
0.145238 0.135618 
0.170406 0.155671 
0.177467 0.183519 
0.173907 0.171663 
0.197858 0.175418 
0.202398 0.213464 
0.199083 0.207944 
0.198210 0.226145 
0.199947 0.228067 
0.227312 0.244852 
0.255716 0.269889 
0.266931 0.289693 
0.257917 0.299304 
0.312262 0.290248 
0.284370 0.296702 
0.305692 0.296075 
0.294650 0.360721 
0.357999 0.368103 
0.359803 0.259617 
0.259111 0.269045 
0.250533 0.240545 
0.232545 0.247036 
0.248492 0.236134 
0.278649 0.267118 
0.271738 0.288732 
0.309500 0.343435 
0.342609 0.313085 
0.347264 0.363696 
0.349485 0.383670 
0.367876 0.374670 
0.346826 0.307128 
0.316052 0.272985 
0.274442 0.198872 
0.187111 0.180061 
0.204458 0.162259 
0.161665 0.184852 
0.172110 0.187992 
0.202922 0.188366 
0.153155 0.144168 
0.147145 0.193968 
0.204703 0.213774 
0.232192 0.259964 
0.247294 0.246347 
0.253653 0.257645 
0.238758 0.245142 
0.244142 0.260531 
0.264008 0.291389 
0.297588 0.225988 
0.201433 0.207282 
0.225212 0.239566 
0.224338 0.226785 
0.205863 0.208410 
0.205168 0.213913 
0.215793 0.201045 
0.206078 0.237648 
0.258183 0.263083 
0.245703 0.207211 
0.251007 0.259053 
0.263803 0.258719 
0.227588 0.206043 
0.199292 0.182995 
0.201037 0.190716 
0.188388 0.193250 
0.230908 0.242083 
0.249158 0.255839 
0.319787 0.341914 
0.332350 0.360470 
0.333512 0.315835 
0.330554 0.334602 
0.338207 0.366048 
0.352850 0.340651 
0.364242 0.373269 
0.376866 0.359799 
0.407986 0.367952 
0.372223 0.343507 
0.367233 0.321568 
0.330049 0.346613 
0.334098 0.274419 
0.287640 0.274663 
0.213289 0.224673 
0.206933 0.199260 
0.188126 0.179532 
0.181698 0.000008 
0.038789 0.030937 
0.000175 0.000288 
0.106023 0.163508 
0.136142 0.121530 
0.217409 0.214802 
0.212947 0.196363 
0.191616 0.187013 
0.181330 0.150028 
0.163197 0.191314 
0.196487 0.208428 
0.218213 0.220700 
0.196105 0.211686 
0.192445 0.159048 
0.167978 0.245236 
0.253725 0.250791 
0.274002 0.263705 
0.268385 0.253068 
0.250135 0.248265 
0.253290 0.187034 
0.198201 0.235120 
0.216922 0.209766 
0.210100 0.280706 
0.279742 0.286227 
0.283601 0.313783 
0.342971 0.371192 
0.393244 0.403089 
0.380506 0.389570 
0.437533 0.408183 
0.388945 0.401884 
0.365524 0.389366 
0.296566 0.290529 
0.310221 0.315246 
0.293761 0.322427 
0.316569 0.353528 
0.359184 0.374620 
0.423185 0.417761 
0.395040 0.391770 
0.395051 0.353424 
0.382525 0.351605 
0.377648 0.364619 
0.358699 0.330120 
0.334746 0.362496 
0.359350 0.386140 
0.410501 0.482551 
0.453241 0.404115 
0.395062 0.386408 
0.001675 0.082245 
0.073220 0.073127 
0.055342 0.078440 
0.137674 0.185577 
0.170390 0.176652 
0.167268 0.157020 
0.147096 0.152215 
0.140984 0.144336 
0.135556 0.140796 
0.178728 0.176270 
0.181039 0.208476 
0.197491 0.210689 
0.180554 0.146751 
0.167928 0.183990 
0.187223 0.264602 
0.286801 0.258300 
0.270160 0.272898 
0.277780 0.234968 
0.249593 0.241833 
0.201845 0.197091 
0.196802 0.187062 
0.147874 0.163028 
0.162592 0.170198 
0.156973 0.155239 
0.185958 0.162498 
0.159030 0.174823 
0.158381 0.171119 
0.151243 0.131359 
0.135725 0.141544 
0.112657 0.086361 
0.100150 0.111432 
0.096941 0.189084 
0.204649 0.216936 
0.224379 0.231523 
0.248298 0.218427 
0.184676 0.182657 
0.187424 0.177881 
0.101426 0.110891 
0.070009 0.085164 
0.094406 0.141796 
0.138721 0.159379 
0.173790 0.148483 
0.127892 0.100813 
0.133605 0.130161 
0.146945 0.130634 
0.173159 0.194181 
0.185588 0.002611 
0.185011 0.188745 
0.191566 0.190782 
0.201978 0.210434 
0.225424 0.268253 
0.273167 0.284743 
0.273219 0.273044 
0.246581 0.241464 
0.237838 0.241822 
0.238539 0.229285 
0.225227 0.245262 
0.256009 0.264587 
0.204954 0.239835 
0.242937 0.247559 
0.200500 0.244134 
0.264474 0.229599 
0.204930 0.225224 
0.230105 0.238975 
0.232698 0.266036 
0.273345 0.286923 
0.310376 0.305415 
0.333499 0.337440 
0.344168 0.316317 
0.330327 0.345453 
0.299676 0.266088 
0.281204 0.276266 
0.264288 0.258491 
0.253426 0.270948 
0.282675 0.288207 
0.285265 0.283423 
0.263823 0.281164 
0.297646 0.224783 
0.239933 0.229625 
0.239865 0.228728 
0.257013 0.259951 
0.284170 0.294849 
0.252032 0.242778 
0.225312 0.220669 
0.237539 0.245711 
0.194263 0.192881 
0.208906 0.174827 
0.181968 0.194322 
0.187066 0.203113 
0.214806 0.201016 
0.177504 0.179194 
0.186652 0.180949 
0.181457 0.202966 
0.001665 0.132773 
0.137932 0.219100 
0.223006 0.226846 
0.230247 0.247432 
0.216103 0.217278 
0.207673 0.207064 
0.213301 0.217879 
0.146911 0.137692 
0.193416 0.244514 
0.246026 0.252678 
0.268625 0.296702 
0.291103 0.332690 
0.371337 0.351181 
0.346236 0.328026 
0.286546 0.277032 
0.272962 0.250087 
0.254838 0.272951 
0.282964 0.269806 
0.249129 0.241236 
0.228330 0.204345 
0.187933 0.172720 
0.163641 0.150062 
0.152862 0.167233 
0.155561 0.123500 
0.078140 0.054977 
0.152197 0.182764 
0.230069 0.249371 
0.261160 0.249726 
0.278706 0.215303 
0.172463 0.163218 
0.164175 0.209103 
0.230958 0.254009 
0.281701 0.297829 
0.261338 0.295466 
0.313495 0.318181 
0.324756 0.269100 
0.294083 0.237085 
0.180037 0.161672 
0.162070 0.261456 
0.294727 0.295702 
0.292646 0.296526 
0.295184 0.288146 
0.266933 0.257700 
0.244278 0.235349 
0.173556 0.162903 
0.159607 0.161947 
0.163482 0.002339 
0.058153 0.126639 
0.154157 0.145647 
0.164545 0.176141 
0.181620 0.187608 
0.172361 0.158026 
0.093273 0.126937 
0.097334 0.127481 
0.122429 0.105762 
0.159831 0.152692 
0.207206 0.194710 
0.178401 0.176689 
0.246210 0.296421 
0.294728 0.279639 
0.321994 0.319367 
0.271975 0.303508 
0.269862 0.288155 
0.284434 0.251775 
0.268458 0.232827 
0.214403 0.236495 
0.228131 0.226914 
0.226937 0.217897 
0.228990 0.297718 
0.289639 0.291073 
0.265361 0.373707 
0.366517 0.411603 
0.404787 0.303981 
0.278460 0.253106 
0.261122 0.241034 
0.280983 0.275283 
0.226020 0.254951 
0.263086 0.262549 
0.228527 0.235020 
0.206655 0.222693 
0.222002 0.228494 
0.210561 0.181333 
0.173060 0.186880 
0.176646 0.193992 
0.175924 0.228366 
0.253383 0.245992 
0.253912 0.256439 
0.253569 0.243081 
0.223666 0.228793 
0.186102 0.174634 
0.192405 0.178966 
0.203324 0.184744 
0.202559 0.210224 
0.001514 0.182930 
0.149163 0.148508 
0.139912 0.140739 
0.153657 0.168744 
0.174791 0.178945 
0.183387 0.155413 
0.151273 0.148843 
0.181463 0.186150 
0.164567 0.131953 
0.135444 0.126396 
0.121164 0.137640 
0.155636 0.163830 
0.156085 0.187752 
0.181895 0.174934 
0.173124 0.204884 
0.145784 0.173179 
0.170366 0.220824 
0.231879 0.210491 
0.207897 0.175944 
0.201417 0.196049 
0.201752 0.154651 
0.266137 0.235877 
0.299445 0.297584 
0.290142 0.322140 
0.301468 0.309880 
0.301938 0.301516 
0.291564 0.238374 
0.236973 0.187334 
0.187505 0.184680 
0.206131 0.185008 
0.182377 0.181014 
0.156539 0.181459 
0.188175 0.234637 
0.226105 0.235798 
0.232833 0.184211 
0.210325 0.222283 
0.244570 0.255355 
0.306906 0.294051 
0.270330 0.262269 
0.256172 0.225603 
0.225123 0.230616 
0.233590 0.208196 
0.199524 0.164510 
0.127490 0.126960 
0.192853 0.226434 
0.244826 0.223381 
0.184025 0.001793 
0.005604 0.057356 
0.175635 0.166440 
0.188061 0.181885 
0.182078 0.179156 
0.223615 0.211050 
0.188195 0.185112 
0.205772 0.211431 
0.225940 0.188409 
0.176276 0.167721 
0.172752 0.170248 
0.170097 0.156152 
0.168277 0.162192 
0.181671 0.190476 
0.169087 0.198889 
0.165725 0.167238 
0.189737 0.184787 
0.199995 0.188578 
0.143527 0.135980 
0.139718 0.115187 
0.107129 0.148921 
0.163347 0.166037 
0.181342 0.205288 
0.206566 0.222660 
0.226071 0.267500 
0.254980 0.253316 
0.281959 0.237459 
0.273229 0.256137 
0.233144 0.189449 
0.198494 0.214870 
0.217095 0.230680 
0.230903 0.228622 
0.262168 0.243831 
0.237765 0.220910 
0.230193 0.231470 
