X Y 
0.218950 0.281630 
0.195429 0.265542 
0.186370 0.288077 
0.200245 0.321808 
0.227697 0.256329 
0.227337 0.261030 
0.174573 0.252523 
0.230430 0.253573 
0.000804 0.254156 
0.038983 0.268978 
0.046649 0.258080 
0.050066 0.303325 
0.043414 0.305929 
0.025721 0.319631 
0.098584 0.299758 
0.178795 0.313160 
0.170885 0.332403 
0.128157 0.338097 
0.108289 0.328480 
0.143392 0.370270 
0.144717 0.381252 
0.166275 0.360135 
0.204191 0.360129 
0.202048 0.370617 
0.189526 0.373520 
0.243847 0.387471 
0.257655 0.403091 
0.293998 0.420270 
0.293253 0.400197 
0.327677 0.406087 
0.333627 0.455461 
0.308395 0.376431 
0.321378 0.387979 
0.268650 0.389160 
0.263666 0.372349 
0.270006 0.369186 
0.276276 0.379361 
0.322425 0.443673 
0.323696 0.435380 
0.327746 0.314037 
0.332733 0.331153 
0.350801 0.371526 
0.331472 0.360896 
0.275648 0.349533 
0.257907 0.357222 
0.266137 0.330393 
0.291309 0.321762 
0.330758 0.309888 
0.345903 0.267529 
0.347399 0.249213 
0.310767 0.302531 
0.273868 0.262301 
0.302969 0.296028 
0.325345 0.281602 
0.353519 0.317762 
0.308131 0.308030 
0.234619 0.321938 
0.233254 0.297933 
0.255741 0.303773 
0.218743 0.317245 
0.264885 0.342822 
0.255546 0.337128 
0.234667 0.285153 
0.200952 0.330356 
0.216478 0.323571 
0.229625 0.317651 
0.240664 0.325078 
0.230467 0.302760 
0.270046 0.300594 
0.278892 0.281176 
0.253186 0.220799 
0.210469 0.241037 
0.263707 0.238165 
0.243559 0.218647 
0.249773 0.249298 
0.312403 0.198282 
0.301317 0.213428 
0.310379 0.201304 
0.322113 0.177027 
0.320230 0.204601 
0.316332 0.207018 
0.291158 0.190955 
0.276040 0.212676 
0.261473 0.217853 
0.250875 0.218138 
0.253921 0.210045 
0.261368 0.209700 
0.298476 0.188195 
0.285247 0.189336 
0.293751 0.173426 
0.283998 0.169098 
0.298751 0.118558 
0.328333 0.208931 
0.328705 0.158548 
0.319651 0.168723 
0.394403 0.219279 
0.371564 0.204289 
0.334776 0.206790 
0.348290 0.122861 
