X Y 
0.000001 0.001772 
0.000166 0.005590 
0.074475 0.042522 
0.092987 0.070654 
0.086927 0.029598 
0.121391 0.155070 
0.119622 0.135488 
0.130836 0.123728 
0.122609 0.098072 
0.119693 0.080664 
0.098538 0.065241 
0.072495 0.002864 
0.106522 0.145765 
0.126813 0.239767 
0.153801 0.246113 
0.158524 0.260227 
0.187814 0.260328 
0.160272 0.243814 
0.151306 0.240688 
0.139452 0.242253 
0.144588 0.254539 
0.173804 0.248796 
0.169882 0.290002 
0.162993 0.289157 
0.171729 0.334600 
0.157804 0.315721 
0.146681 0.301071 
0.151286 0.291907 
0.130863 0.294558 
0.096090 0.351690 
0.076359 0.377385 
0.038764 0.424845 
0.060673 0.424158 
0.135469 0.310416 
0.136242 0.267637 
0.121329 0.236976 
0.173381 0.239028 
0.201433 0.262033 
