X Y 
0.167347 0.175897 
0.165166 0.164895 
0.000004 0.000039 
0.000099 0.000436 
0.001106 0.193167 
0.073375 0.162106 
0.103383 0.136203 
0.087834 0.142163 
0.096984 0.130904 
0.090875 0.142625 
0.081772 0.129234 
0.084465 0.140122 
0.025418 0.164649 
0.015825 0.178737 
0.031956 0.119539 
0.030063 0.096429 
0.074529 0.155991 
0.005087 0.105491 
0.100004 0.070059 
0.139335 0.080750 
0.138979 0.105909 
0.128905 0.108829 
0.199126 0.152079 
0.220630 0.135411 
0.187671 0.137634 
0.183162 0.132224 
0.207089 0.093818 
0.191761 0.100531 
0.169016 0.083083 
0.180310 0.077094 
0.201872 0.026503 
0.167451 0.076148 
0.236174 0.044712 
0.219833 0.087724 
0.237252 0.106101 
0.220885 0.098253 
0.223260 0.057733 
0.205816 0.015644 
0.147160 0.043766 
0.131073 0.035150 
0.119543 0.043099 
0.157776 0.080915 
0.152677 0.144967 
0.167220 0.162830 
0.135251 0.169229 
0.190341 0.161579 
0.217562 0.139231 
0.185545 0.136593 
0.199103 0.169961 
0.171112 0.196333 
0.191500 0.179627 
0.149953 0.177509 
0.190130 0.205563 
0.187404 0.196459 
0.147403 0.231704 
0.122706 0.205049 
0.130062 0.227802 
0.163633 0.256452 
0.165567 0.256282 
0.126711 0.232203 
0.123953 0.220780 
0.064549 0.245543 
0.106846 0.250561 
0.095367 0.241109 
0.087112 0.228389 
0.165001 0.213936 
0.159260 0.217807 
0.211852 0.212695 
0.226726 0.157230 
0.206630 0.256138 
0.258777 0.239572 
0.270594 0.254539 
0.290502 0.210888 
0.318036 0.206329 
0.292628 0.225397 
0.295114 0.228551 
0.307910 0.228355 
