X Y 
0.164118 0.161729 
0.174399 0.188401 
0.138888 0.196408 
0.170339 0.170883 
0.144508 0.178393 
0.205531 0.246275 
0.255381 0.248785 
0.268845 0.272413 
0.307017 0.325542 
0.293627 0.285799 
0.292818 0.350735 
0.347058 0.375087 
0.374787 0.370700 
0.356825 0.361170 
0.411978 0.373569 
0.363937 0.406437 
0.402136 0.371751 
0.378431 0.327858 
0.322191 0.345107 
0.342112 0.309345 
0.297885 0.285951 
0.273583 0.283285 
0.256009 0.243966 
0.235455 0.247175 
0.242070 0.228507 
0.240157 0.256015 
0.258081 0.241365 
0.210336 0.183584 
0.197439 0.197717 
0.202811 0.186152 
0.175520 0.168353 
0.162150 0.174912 
0.243952 0.258361 
0.228655 0.265955 
0.262740 0.229505 
0.212509 0.226146 
0.230099 0.237805 
0.260712 0.299197 
0.306345 0.313505 
0.302841 0.253010 
0.242587 0.230489 
0.232141 0.225483 
0.145555 0.186016 
0.177712 0.166658 
0.162593 0.172374 
0.200315 0.217875 
0.002797 0.127130 
0.160798 0.131136 
0.152499 0.142755 
0.157684 0.178815 
0.155045 0.184770 
0.178649 0.177744 
0.173248 0.169963 
0.148008 0.180061 
0.202838 0.223821 
0.231571 0.228368 
0.228016 0.249872 
0.245948 0.210790 
0.208297 0.225242 
0.209713 0.204287 
0.210093 0.200877 
0.207675 0.197036 
0.183139 0.168799 
0.224847 0.232392 
0.242610 0.210482 
0.212271 0.188144 
0.189443 0.196174 
0.213235 0.190626 
0.220159 0.227118 
0.208468 0.203396 
0.200514 0.187181 
0.221622 0.195809 
0.215229 0.225411 
0.241500 0.219342 
0.236778 0.245863 
0.217590 0.161978 
0.289099 0.256348 
0.258696 0.216772 
0.159935 0.203636 
0.206501 0.223588 
0.215729 0.226487 
0.226195 0.252629 
0.249200 0.277130 
0.273435 0.276196 
0.254203 0.258881 
0.280943 0.264183 
0.259104 0.275669 
0.305548 0.292112 
0.349406 0.368866 
0.384499 0.284864 
0.297677 0.342160 
0.382540 0.357404 
0.378236 0.241647 
0.259357 0.314981 
0.329555 0.306212 
0.305575 0.300430 
0.296245 0.309495 
0.319244 0.344572 
0.350324 0.342659 
