X Y 
0.196675 0.198391 
0.176636 0.181488 
0.174751 0.219422 
0.227637 0.270905 
0.285937 0.287792 
0.302499 0.294785 
0.285888 0.276423 
0.319394 0.300268 
0.323928 0.313691 
0.306489 0.304485 
0.304548 0.289517 
0.002360 0.033685 
0.012715 0.149329 
0.137017 0.146570 
0.146385 0.144561 
0.184660 0.175969 
0.195190 0.159649 
0.132868 0.135175 
0.133569 0.120752 
0.131599 0.137225 
0.167020 0.180144 
0.212199 0.195706 
0.175228 0.174898 
0.183682 0.186676 
0.190613 0.209167 
0.213648 0.184373 
0.164961 0.183263 
0.179416 0.204755 
0.156700 0.189545 
0.200886 0.212883 
0.211684 0.209307 
0.215468 0.206114 
0.164169 0.156320 
0.167947 0.149742 
0.137827 0.099281 
0.245038 0.245603 
0.210363 0.208546 
0.210794 0.196133 
0.211361 0.169480 
0.181180 0.185104 
0.007395 0.086301 
0.255957 0.195739 
0.183363 0.238904 
0.225406 0.218224 
0.221655 0.196520 
0.200277 0.217182 
0.300358 0.288952 
0.278737 0.272937 
0.327334 0.316272 
0.313545 0.353036 
0.342006 0.330140 
0.318038 0.317463 
0.311528 0.291567 
0.269025 0.263705 
0.234789 0.235629 
0.238030 0.237318 
0.242989 0.229636 
0.216682 0.215749 
0.206901 0.188689 
0.197229 0.197404 
0.209036 0.244446 
0.187966 0.211393 
0.209341 0.215094 
0.192580 0.121332 
0.175573 0.185893 
0.159278 0.160769 
0.152008 0.156755 
0.177332 0.165594 
0.183170 0.215285 
0.372260 0.379955 
0.353537 0.370591 
0.397555 0.355120 
0.357458 0.361872 
0.369567 0.324896 
0.306447 0.308591 
0.369766 0.347242 
0.352835 0.350858 
0.340920 0.361439 
0.347441 0.340215 
0.317224 0.310241 
0.301785 0.258819 
0.256297 0.250120 
0.264931 0.263242 
0.253075 0.254655 
0.285533 0.292532 
0.316974 0.319652 
0.327242 0.218722 
0.216137 0.230430 
0.209367 0.207909 
0.206873 0.200043 
0.218850 0.228043 
0.234819 0.228087 
0.233130 0.194245 
0.213161 0.220240 
0.208167 0.193818 
0.210737 0.195364 
0.171137 0.189513 
0.150542 0.237390 
0.212808 0.211053 
0.213193 0.201559 
0.181105 0.159113 
0.151096 0.144188 
0.168078 0.176719 
0.191413 0.193032 
0.189004 0.158942 
0.209526 0.185984 
0.196107 0.177849 
0.176346 0.164616 
0.276970 0.283353 
0.282665 0.253721 
0.307160 0.309057 
0.338804 0.309093 
0.291411 0.283217 
0.282867 0.286865 
0.287017 0.294751 
0.270786 0.283394 
0.264916 0.265422 
0.326238 0.343410 
0.325864 0.334696 
0.339761 0.322695 
0.307550 0.268519 
0.232607 0.195886 
0.200343 0.209019 
0.195870 0.189491 
0.185111 0.219753 
0.220945 0.204251 
0.220688 0.284707 
0.298445 0.271843 
0.285041 0.276296 
0.294831 0.291856 
0.308937 0.302165 
0.308366 0.332884 
0.323101 0.325033 
0.006512 0.138179 
0.129334 0.135265 
0.141647 0.120195 
0.167261 0.132852 
0.168792 0.190645 
0.197331 0.211133 
0.227654 0.231049 
0.251665 0.271966 
0.260638 0.262955 
0.258561 0.250033 
0.288857 0.294862 
0.310773 0.330076 
0.313953 0.256488 
0.238655 0.225513 
0.225483 0.244829 
0.238373 0.243404 
0.280004 0.248537 
0.215420 0.179645 
0.171130 0.197159 
0.215327 0.194193 
0.183798 0.149925 
0.156466 0.178739 
0.187275 0.178829 
0.151065 0.106743 
0.204629 0.195268 
0.210450 0.193824 
0.242604 0.233588 
0.235566 0.249715 
0.280574 0.304622 
0.292450 0.268060 
0.240248 0.254502 
0.273766 0.263798 
0.279174 0.271843 
0.257845 0.281231 
0.280729 0.282391 
0.278143 0.278642 
0.277183 0.276218 
0.263723 0.303175 
0.283712 0.207590 
0.204910 0.213221 
0.202862 0.206134 
0.197850 0.185815 
0.195341 0.206779 
0.198386 0.208074 
0.236905 0.209143 
0.195414 0.195178 
0.188189 0.192749 
0.167695 0.160389 
0.160670 0.140034 
