X Y 
0.193079 0.270190 
0.160869 0.293524 
0.062087 0.207942 
0.066466 0.193818 
0.132311 0.217777 
0.211120 0.239024 
0.151979 0.244897 
0.162622 0.175646 
0.133539 0.182117 
0.128121 0.246564 
0.176685 0.253601 
0.221349 0.251717 
0.261804 0.299329 
0.301954 0.255781 
0.351477 0.245044 
0.349613 0.309470 
0.341289 0.333952 
0.396215 0.258398 
0.287483 0.250067 
0.324639 0.270862 
0.333966 0.299460 
0.389517 0.277973 
0.472892 0.238534 
0.316721 0.250887 
0.295732 0.275316 
0.285859 0.274537 
0.298902 0.295683 
0.275532 0.288717 
0.283717 0.265484 
0.353744 0.254236 
0.336734 0.255879 
0.335161 0.249676 
0.288825 0.236331 
0.306909 0.263559 
0.306648 0.264132 
0.295702 0.286132 
0.334412 0.353406 
0.280008 0.343711 
0.286073 0.320447 
0.325339 0.301489 
0.353274 0.242051 
0.341046 0.205170 
0.319500 0.198594 
0.296547 0.223179 
0.295542 0.227849 
0.250467 0.212975 
0.244708 0.216305 
0.245935 0.251726 
0.246970 0.287547 
0.154453 0.296394 
0.156466 0.246661 
0.150333 0.210290 
0.133149 0.207301 
0.142774 0.196640 
0.163268 0.156661 
0.155867 0.157447 
0.157154 0.177346 
0.168423 0.239098 
0.165858 0.171400 
0.186021 0.196988 
0.231169 0.194592 
0.245538 0.188506 
0.291398 0.189858 
0.287314 0.198306 
0.297656 0.188756 
0.302218 0.111967 
0.302552 0.144604 
0.362167 0.145500 
0.367760 0.158240 
0.319865 0.203091 
0.322152 0.131979 
0.280251 0.111135 
0.239324 0.113494 
0.235910 0.127297 
0.227002 0.145206 
0.217318 0.122697 
0.216282 0.089378 
0.227206 0.058033 
0.233625 0.041828 
0.255650 0.047638 
0.220732 0.052739 
0.207361 0.052865 
0.235516 0.047630 
0.268027 0.101308 
0.305058 0.124971 
0.298114 0.139089 
0.277412 0.101615 
0.268734 0.111598 
0.240803 0.083117 
0.229602 0.124925 
0.250081 0.092635 
0.185362 0.087926 
0.156432 0.119872 
0.138873 0.147689 
0.135516 0.159001 
0.168838 0.131108 
0.168559 0.134978 
0.209924 0.164161 
0.192302 0.154835 
0.197421 0.109317 
0.227509 0.134917 
0.218031 0.154395 
0.225675 0.174704 
0.225696 0.247392 
0.320575 0.234856 
0.293384 0.303865 
0.322409 0.294177 
0.383245 0.300317 
0.403934 0.235063 
0.393052 0.216255 
0.407094 0.222918 
0.403798 0.217979 
0.414553 0.193665 
0.471552 0.167167 
0.446320 0.167287 
0.444306 0.164388 
0.498662 0.157313 
0.421971 0.130973 
0.396310 0.133369 
0.353575 0.150917 
0.353305 0.158493 
0.325805 0.056595 
0.340787 0.055504 
0.379069 0.083674 
0.337950 0.098871 
0.365091 0.093445 
0.225945 0.082889 
0.235332 0.096737 
0.154285 0.160405 
0.145781 0.181688 
0.147124 0.140109 
0.159540 0.082501 
0.147319 0.150965 
0.160796 0.148033 
0.188357 0.160464 
0.206067 0.208111 
0.204530 0.228254 
0.229142 0.237556 
0.232032 0.208222 
0.226136 0.206595 
0.224487 0.227040 
0.212666 0.264763 
0.230470 0.294504 
0.194340 0.268394 
0.212356 0.256363 
0.217205 0.258606 
0.218992 0.279158 
0.213470 0.340749 
0.226923 0.328204 
0.118861 0.364024 
0.139814 0.363102 
0.144134 0.344289 
0.192174 0.357931 
0.114731 0.374374 
0.174067 0.358631 
