X Y 
0.010691 0.267091 
0.004486 0.266275 
0.027082 0.267687 
0.048777 0.276439 
0.069783 0.279391 
0.096977 0.272294 
0.114862 0.267944 
0.127099 0.272023 
0.127774 0.271559 
0.136855 0.265226 
0.136474 0.256014 
0.144885 0.252536 
0.150136 0.262743 
0.159089 0.271495 
0.161446 0.264394 
0.160762 0.262895 
0.161898 0.262695 
0.155600 0.262327 
0.158966 0.260413 
0.161766 0.250792 
0.164849 0.253411 
0.174904 0.251734 
0.179298 0.250461 
0.179212 0.246866 
0.178366 0.253919 
0.178302 0.255130 
0.178102 0.261608 
0.184493 0.254661 
0.198643 0.254542 
0.205392 0.260657 
0.210521 0.264939 
0.227492 0.263295 
0.228505 0.260346 
0.226929 0.251745 
0.220014 0.252102 
0.219172 0.249489 
0.222184 0.245915 
0.218659 0.247645 
0.225036 0.246440 
0.227388 0.250186 
0.217001 0.246201 
0.218020 0.258460 
0.213422 0.260520 
0.214229 0.255932 
0.218521 0.253801 
0.219630 0.250047 
0.220928 0.247873 
0.222912 0.245898 
0.222576 0.248230 
0.221691 0.248588 
0.215165 0.244601 
0.217517 0.247860 
0.217620 0.252453 
0.223060 0.261966 
0.218230 0.263222 
0.220090 0.261174 
0.225110 0.253345 
0.226447 0.252585 
0.224946 0.257535 
0.220982 0.255990 
0.225906 0.256931 
0.219284 0.258095 
0.214794 0.258104 
0.219108 0.257356 
0.220378 0.257326 
0.224050 0.259432 
0.222423 0.247961 
0.224451 0.241869 
0.222662 0.239731 
0.227659 0.235163 
0.225827 0.245136 
0.222697 0.235687 
0.226539 0.241857 
0.227326 0.236964 
0.228756 0.233929 
0.221884 0.227335 
0.221042 0.234328 
0.221751 0.246866 
0.224610 0.241929 
0.222035 0.235590 
0.217560 0.244465 
0.222214 0.241277 
0.226023 0.239769 
0.222745 0.239479 
0.226300 0.235303 
0.218672 0.230360 
0.220550 0.238548 
0.224666 0.235531 
0.223258 0.235617 
0.224052 0.230040 
0.225539 0.231124 
0.224478 0.229457 
0.233606 0.236434 
0.237583 0.245597 
0.239154 0.238904 
0.238637 0.241943 
0.236789 0.245646 
0.228742 0.251475 
0.225172 0.251184 
0.228826 0.252139 
0.233295 0.253655 
0.233178 0.242530 
0.236662 0.236213 
0.234664 0.239527 
0.235597 0.241798 
0.237935 0.248998 
0.236741 0.255973 
0.233256 0.257671 
0.242492 0.249280 
0.247660 0.247668 
0.243582 0.251307 
0.242745 0.252692 
0.246021 0.252671 
0.249476 0.247889 
0.255523 0.239694 
0.254209 0.235490 
0.256517 0.237965 
0.259980 0.238845 
0.255585 0.245054 
0.259121 0.250719 
0.259792 0.253603 
0.262972 0.239424 
0.260335 0.239439 
0.261089 0.229895 
0.258906 0.229233 
0.266483 0.230933 
0.269897 0.236538 
0.263253 0.236862 
0.264740 0.241392 
0.260955 0.242464 
0.258704 0.247084 
0.259316 0.255039 
0.263589 0.258694 
0.264900 0.248520 
0.262446 0.254577 
0.259834 0.242841 
0.255110 0.236535 
0.248022 0.238871 
0.245623 0.243256 
0.247069 0.249447 
0.245272 0.243748 
0.246006 0.240580 
0.245332 0.244333 
0.246843 0.247666 
0.248889 0.253209 
0.247279 0.255641 
0.252217 0.254127 
0.257275 0.255627 
0.254975 0.261360 
0.254473 0.259000 
0.254392 0.250220 
0.253332 0.255983 
0.263077 0.262884 
0.265540 0.256516 
0.270817 0.253948 
0.267679 0.249909 
0.258591 0.246725 
0.257733 0.250170 
0.263970 0.255524 
0.258075 0.261216 
0.254969 0.260762 
0.255645 0.259841 
0.265216 0.263060 
0.266795 0.266442 
0.262954 0.270509 
0.258375 0.266507 
0.263207 0.256401 
0.264408 0.260669 
0.263957 0.265071 
0.271144 0.268433 
0.268694 0.263762 
0.269859 0.254047 
0.277834 0.249115 
0.277213 0.252564 
0.277675 0.254476 
0.277881 0.254313 
0.282004 0.252278 
0.281966 0.252570 
0.277522 0.250232 
0.280941 0.249712 
0.266836 0.245314 
0.268320 0.239363 
