X Y 
0.019869 0.264430 
0.000360 0.276488 
0.000817 0.284976 
0.005414 0.307004 
0.029986 0.274630 
0.030085 0.311159 
0.028601 0.325111 
0.071021 0.431829 
0.047441 0.402057 
0.047618 0.371654 
0.075854 0.343751 
0.078118 0.348030 
0.037921 0.339989 
0.158750 0.334455 
0.226527 0.379918 
0.224605 0.410356 
0.218101 0.406301 
0.229074 0.422440 
0.196513 0.418777 
0.167952 0.408867 
0.188492 0.422229 
0.177321 0.459665 
0.222054 0.448009 
0.202771 0.395620 
0.255224 0.396455 
0.222096 0.315661 
0.213730 0.332660 
0.244594 0.352496 
0.261686 0.345713 
0.284992 0.346457 
0.293511 0.354310 
0.313796 0.341964 
0.354521 0.263013 
0.357298 0.258676 
0.281918 0.244957 
0.292507 0.241092 
0.261843 0.228858 
0.283987 0.164344 
0.296489 0.170403 
0.310817 0.176918 
0.292275 0.186916 
0.288692 0.153388 
0.295405 0.201739 
0.309175 0.212659 
0.343185 0.200964 
0.345293 0.179603 
0.360055 0.174844 
0.368132 0.183767 
0.319933 0.242150 
0.305301 0.233685 
0.205905 0.215272 
0.217068 0.204473 
0.214250 0.238349 
0.293382 0.225335 
0.344004 0.256805 
0.304541 0.259763 
0.290646 0.230361 
0.311094 0.195769 
0.302066 0.198181 
0.327005 0.171809 
0.329054 0.168368 
0.328937 0.174669 
0.319872 0.187336 
0.348535 0.192246 
0.233540 0.148951 
0.255493 0.177247 
0.257262 0.172041 
0.229521 0.163972 
0.202820 0.172204 
0.114096 0.156702 
0.129202 0.102397 
0.129049 0.168376 
0.134119 0.150631 
0.149800 0.113319 
0.138174 0.103980 
0.085510 0.113097 
0.072546 0.127515 
0.072633 0.084788 
0.078206 0.077944 
0.067665 0.073558 
0.069809 0.105746 
0.074668 0.112328 
0.083676 0.106834 
0.061728 0.122578 
0.023324 0.134404 
0.058462 0.077019 
0.030404 0.095480 
0.032183 0.065788 
0.003778 0.141133 
0.023269 0.111742 
0.070555 0.122852 
0.035972 0.112937 
0.157492 0.149070 
0.166812 0.168905 
0.175261 0.138174 
0.182931 0.155985 
0.233406 0.180057 
0.234321 0.207558 
0.216015 0.197547 
0.305106 0.294381 
0.284177 0.322741 
0.312083 0.305679 
0.351188 0.360022 
0.313339 0.388189 
0.303898 0.411323 
0.309860 0.421157 
0.294144 0.410629 
0.281625 0.394720 
0.320705 0.371899 
0.321667 0.373181 
0.316068 0.363758 
0.327355 0.341446 
0.268684 0.362576 
0.265624 0.368757 
0.253916 0.357042 
0.251563 0.372278 
0.284799 0.423115 
0.297256 0.440353 
0.297906 0.442927 
0.275856 0.448383 
0.270027 0.450282 
0.233629 0.431879 
0.211280 0.449873 
0.263154 0.382549 
0.247480 0.316757 
0.249868 0.261113 
0.246183 0.304469 
0.268922 0.298325 
0.252293 0.302856 
0.259262 0.323593 
0.253048 0.329337 
0.218863 0.332141 
0.268715 0.311523 
0.237521 0.261218 
0.231987 0.283803 
0.195163 0.275634 
0.158784 0.245064 
0.175735 0.210862 
0.150229 0.189702 
0.153704 0.144984 
0.149997 0.149660 
0.177769 0.194665 
0.171189 0.223459 
0.172928 0.223717 
0.185073 0.266309 
0.246419 0.253598 
0.223407 0.249640 
0.228394 0.273926 
0.247366 0.300380 
0.256684 0.271175 
0.265196 0.255485 
0.237103 0.301542 
0.227624 0.280628 
0.194363 0.324613 
0.168818 0.309352 
0.144775 0.321057 
0.132849 0.315789 
0.146019 0.339667 
0.171476 0.352823 
0.126893 0.330333 
0.177986 0.316090 
0.147248 0.309662 
0.171222 0.326368 
0.174596 0.307852 
0.153531 0.312374 
0.118652 0.295701 
0.082364 0.266440 
0.074351 0.260245 
0.058557 0.261845 
0.077236 0.216233 
0.067167 0.188509 
0.095737 0.163908 
0.101384 0.234048 
0.036824 0.242863 
0.048014 0.201498 
0.054491 0.165135 
0.087908 0.134416 
0.067214 0.138903 
0.068391 0.110042 
0.067697 0.079598 
0.054530 0.159798 
0.046692 0.142450 
0.101755 0.112496 
0.117398 0.112652 
0.127490 0.136758 
0.087499 0.138462 
0.072433 0.159059 
0.001167 0.170619 
0.046915 0.172186 
0.086549 0.184833 
0.052217 0.165605 
0.023634 0.156176 
0.042869 0.136888 
0.049176 0.153743 
0.062184 0.148141 
0.077818 0.192226 
0.034144 0.184256 
0.040846 0.118686 
0.001106 0.112996 
0.039531 0.067239 
0.042283 0.075922 
0.024743 0.037252 
0.126998 0.077566 
0.129600 0.003593 
0.076099 0.090546 
0.128122 0.054851 
0.149237 0.051516 
0.152427 0.077725 
0.068296 0.091991 
0.075481 0.092565 
0.103713 0.107263 
0.063794 0.104659 
0.081686 0.113993 
0.096306 0.159769 
0.178953 0.138098 
0.220129 0.142148 
0.231582 0.157813 
0.216479 0.166365 
0.232191 0.135850 
0.170358 0.109852 
0.154396 0.102460 
0.166963 0.095805 
0.172030 0.082238 
0.170136 0.060277 
0.170196 0.046657 
0.184595 0.033504 
0.135337 0.050425 
0.142434 0.046720 
0.113790 0.050966 
0.101701 0.055642 
0.105704 0.065593 
0.117603 0.065298 
0.100893 0.112802 
0.084673 0.105739 
0.082598 0.126250 
0.044676 0.161458 
0.067905 0.158558 
0.101746 0.157786 
0.145198 0.172620 
0.145378 0.136919 
0.163344 0.168549 
0.152639 0.247998 
0.135800 0.265887 
0.052359 0.244217 
0.078629 0.181730 
0.098673 0.186932 
0.105673 0.218512 
0.065780 0.231356 
0.071262 0.213814 
0.114061 0.221797 
0.132689 0.251130 
0.114944 0.279502 
0.041644 0.272685 
0.061254 0.273599 
0.020818 0.240363 
0.063794 0.248456 
0.056772 0.252164 
0.049807 0.221305 
0.043897 0.255976 
0.014464 0.245579 
0.033988 0.248657 
0.034620 0.237123 
0.129315 0.218585 
0.144301 0.243988 
0.144641 0.236252 
0.133711 0.249735 
0.141042 0.274156 
0.151236 0.289090 
0.162206 0.281542 
0.174291 0.263645 
0.215194 0.212116 
0.200194 0.175862 
0.162443 0.147040 
0.184066 0.072298 
0.224388 0.059008 
0.248777 0.049082 
0.213589 0.042550 
0.211410 0.065387 
0.188734 0.082751 
0.190428 0.058754 
0.196088 0.173330 
0.284310 0.194234 
0.305822 0.205503 
0.307085 0.137674 
